07-May,
Alton II,Portsmouth & S'sea
Andover II,Ellingham
Langley Manor,Midhurst
Locks Heath,Idlers
Lymington II,Cadnam
Portchester,Shrewton
Purbrook,Compton & C Ford
Ryde,Bedhampton
Waterlooville,Gosport Borough
==========,
14-May,
Bedhampton,Purbrook
Compton & C Ford,Locks Heath
Ellingham,Langley Manor
Gosport Borough,Cadnam
Idlers,Waterlooville
Lymington II,Portsmouth & S'sea
Midhurst,Portchester
Ryde,Andover II
Shrewton,Alton II
==========,
21-May,
Alton II,Midhurst
Cadnam,Idlers
Gosport Borough,Lymington II
Langley Manor,Ryde
Locks Heath,Bedhampton
Portchester,Ellingham
Portsmouth & S'sea,Shrewton
Purbrook,Andover II
Waterlooville,Compton & C Ford
==========,
28-May,
Andover II,Locks Heath
Bedhampton,Waterlooville
Compton & C Ford,Cadnam
Ellingham,Alton II
Idlers,Gosport Borough
Lymington II,Shrewton
Midhurst,Portsmouth & S'sea
Purbrook,Langley Manor
Ryde,Portchester
==========,
04-Jun,
Alton II,Ryde
Cadnam,Bedhampton
Gosport Borough,Compton & C Ford
Idlers,Lymington II
Locks Heath,Langley Manor
Portchester,Purbrook
Portsmouth & S'sea,Ellingham
Shrewton,Midhurst
Waterlooville,Andover II
==========,
11-Jun,
Andover II,Cadnam
Bedhampton,Gosport Borough
Compton & C Ford,Idlers
Ellingham,Shrewton
Langley Manor,Waterlooville
Locks Heath,Portchester
Lymington II,Midhurst
Purbrook,Alton II
Ryde,Portsmouth & S'sea
==========,
18-Jun,
Alton II,Locks Heath
Cadnam,Langley Manor
Compton & C Ford,Lymington II
Gosport Borough,Andover II
Idlers,Bedhampton
Midhurst,Ellingham
Portsmouth & S'sea,Purbrook
Shrewton,Ryde
Waterlooville,Portchester
==========,
25-Jun,
Bedhampton,Compton & C Ford
Idlers,Andover II
Langley Manor,Gosport Borough
Locks Heath,Portsmouth & S'sea
Lymington II,Ellingham
Portchester,Cadnam
Purbrook,Shrewton
Ryde,Midhurst
Waterlooville,Alton II
==========,
02-Jul,
Alton II,Cadnam
Andover II,Compton & C Ford
Ellingham,Ryde
Langley Manor,Idlers
Lymington II,Bedhampton
Midhurst,Purbrook
Portchester,Gosport Borough
Portsmouth & S'sea,Waterlooville
Shrewton,Locks Heath
==========,
09-Jul,
Bedhampton,Andover II
Cadnam,Portsmouth & S'sea
Compton & C Ford,Langley Manor
Ellingham,Purbrook
Gosport Borough,Alton II
Idlers,Portchester
Midhurst,Locks Heath
Ryde,Lymington II
Shrewton,Waterlooville
==========,
16-Jul,
Alton II,Idlers
Andover II,Lymington II
Cadnam,Shrewton
Langley Manor,Bedhampton
Locks Heath,Ellingham
Portchester,Compton & C Ford
Portsmouth & S'sea,Gosport Borough
Purbrook,Ryde
Waterlooville,Midhurst
==========,
23-Jul,
Andover II,Langley Manor
Bedhampton,Portchester
Compton & C Ford,Alton II
Ellingham,Waterlooville
Idlers,Portsmouth & S'sea
Lymington II,Purbrook
Midhurst,Cadnam
Ryde,Locks Heath
Shrewton,Gosport Borough
==========,
30-Jul,
Alton II,Bedhampton
Cadnam,Ellingham
Gosport Borough,Midhurst
Langley Manor,Lymington II
Locks Heath,Purbrook
Portchester,Andover II
Portsmouth & S'sea,Compton & C Ford
Shrewton,Idlers
Waterlooville,Ryde
==========,
06-Aug,
Andover II,Alton II
Bedhampton,Portsmouth & S'sea
Compton & C Ford,Shrewton
Ellingham,Gosport Borough
Langley Manor,Portchester
Lymington II,Locks Heath
Midhurst,Idlers
Purbrook,Waterlooville
Ryde,Cadnam
==========,
13-Aug,
Alton II,Langley Manor
Cadnam,Purbrook
Gosport Borough,Ryde
Idlers,Ellingham
Midhurst,Compton & C Ford
Portchester,Lymington II
Portsmouth & S'sea,Andover II
Shrewton,Bedhampton
Waterlooville,Locks Heath
==========,
20-Aug,
Andover II,Shrewton
Bedhampton,Midhurst
Ellingham,Compton & C Ford
Langley Manor,Portsmouth & S'sea
Locks Heath,Cadnam
Lymington II,Waterlooville
Portchester,Alton II
Purbrook,Gosport Borough
Ryde,Idlers
==========,
27-Aug,
Alton II,Lymington II
Cadnam,Waterlooville
Compton & C Ford,Ryde
Ellingham,Bedhampton
Gosport Borough,Locks Heath
Idlers,Purbrook
Midhurst,Andover II
Portsmouth & S'sea,Portchester
Shrewton,Langley Manor
==========,
