05-May,,
Amesbury,Steeple Langford,
Chawton,Ramsdell,
Compton & C Ford II,Hobos,
Crown Taverners,Farley,
Dinton,Burghclere,
Hursley Park III,St Cross Syms IV,
Old Alresford,Donnington,
South Wilts IV,Kingsclere,
==========,,
12-May,,
Burghclere,Hursley Park III,
Crown Taverners,Amesbury,
Donnington,Dinton,
Hobos,Ramsdell,
Kingsclere,Hurstbourne Priors,
Old Alresford,Farley,
St Cross Syms IV,Compton & C Ford II,
Steeple Langford,South Wilts IV,
==========,,
19-May,,
Chawton,Kingsclere,
Compton & C Ford II,Burghclere,
Dinton,Old Alresford,
Farley,Amesbury,
Hursley Park III,Donnington,
Hurstbourne Priors,Steeple Langford,
Ramsdell,St Cross Syms IV,
South Wilts IV,Crown Taverners,
==========,,
26-May,,
Amesbury,South Wilts IV,
Burghclere,Ramsdell,
Crown Taverners,Hurstbourne Priors,
Dinton,Farley,
Donnington,Compton & C Ford II,
Kingsclere,Hobos,
Old Alresford,Hursley Park III,
Steeple Langford,Chawton,
==========,,
02-Jun,,
Chawton,Crown Taverners,
Compton & C Ford II,Old Alresford,
Farley,South Wilts IV,
Hobos,Steeple Langford,
Hursley Park III,Dinton,
Hurstbourne Priors,Amesbury,
Ramsdell,Donnington,
St Cross Syms IV,Kingsclere,
==========,,
09-Jun,,
Amesbury,Chawton,
Burghclere,Kingsclere,
Crown Taverners,Hobos,
Dinton,Compton & C Ford II,
Hursley Park III,Farley,
Old Alresford,Ramsdell,
South Wilts IV,Hurstbourne Priors,
Steeple Langford,St Cross Syms IV,
==========,,
16-Jun,,
Burghclere,Steeple Langford,
Chawton,South Wilts IV,
Compton & C Ford II,Hursley Park III,
Farley,Hurstbourne Priors,
Hobos,Amesbury,
Kingsclere,Donnington,
Ramsdell,Dinton,
St Cross Syms IV,Crown Taverners,
==========,,
23-Jun,,
Amesbury,St Cross Syms IV,
Compton & C Ford II,Farley,
Crown Taverners,Burghclere,
Donnington,Steeple Langford,
Hursley Park III,Ramsdell,
Hurstbourne Priors,Chawton,
Old Alresford,Kingsclere,
South Wilts IV,Hobos,
==========,,
30-Jun,,
Amesbury,Burghclere,
Chawton,Farley,
Crown Taverners,Donnington,
Hurstbourne Priors,Hobos,
Kingsclere,Dinton,
Ramsdell,Compton & C Ford II,
South Wilts IV,St Cross Syms IV,
Steeple Langford,Old Alresford,
==========,,
07-Jul,,
Burghclere,South Wilts IV,
Donnington,Amesbury,
Farley,Ramsdell,
Hobos,Chawton,
Kingsclere,Hursley Park III,
Old Alresford,Crown Taverners,
St Cross Syms IV,Hurstbourne Priors,
Steeple Langford,Dinton,
==========,,
14-Jul,,
Amesbury,Old Alresford,
Chawton,St Cross Syms IV,
Compton & C Ford II,Kingsclere,
Dinton,Crown Taverners,
Farley,Hobos,
Hursley Park III,Steeple Langford,
Hurstbourne Priors,Burghclere,
South Wilts IV,Donnington,
==========,,
21-Jul,,
Amesbury,Dinton,
Burghclere,Chawton,
Crown Taverners,Hursley Park III,
Donnington,Hurstbourne Priors,
Kingsclere,Ramsdell,
Old Alresford,South Wilts IV,
St Cross Syms IV,Hobos,
Steeple Langford,Compton & C Ford II,
==========,,
28-Jul,,
Chawton,Donnington,
Compton & C Ford II,Crown Taverners,
Farley,St Cross Syms IV,
Hobos,Burghclere,
Hursley Park III,Amesbury,
Hurstbourne Priors,Old Alresford,
Ramsdell,Steeple Langford,
South Wilts IV,Dinton,
==========,,
04-Aug,,
Amesbury,Compton & C Ford II,
Burghclere,St Cross Syms IV,
Crown Taverners,Ramsdell,
Dinton,Hurstbourne Priors,
Donnington,Hobos,
Kingsclere,Farley,
Old Alresford,Chawton,
South Wilts IV,Hursley Park III,
==========,,
11-Aug,,
Chawton,Dinton,
Compton & C Ford II,South Wilts IV,
Farley,Burghclere,
Hobos,Old Alresford,
Hurstbourne Priors,Hursley Park III,
Kingsclere,Steeple Langford,
Ramsdell,Amesbury,
St Cross Syms IV,Donnington,
==========,,
18-Aug,,
Crown Taverners,Kingsclere,
Dinton,Hobos,
Donnington,Burghclere,
Hursley Park III,Chawton,
Hurstbourne Priors,Compton & C Ford II,
Old Alresford,St Cross Syms IV,
South Wilts IV,Ramsdell,
Steeple Langford,Farley,
==========,,
25-Aug,,
Burghclere,Old Alresford,
Chawton,Compton & C Ford II,
Farley,Donnington,
Hobos,Hursley Park III,
Kingsclere,Amesbury,
Ramsdell,Hurstbourne Priors,
St Cross Syms IV,Dinton,
Steeple Langford,Crown Taverners,
==========,,
