05-May,,
Ampfield Crusaders,Dinton II,
Andover IV,North Baddesley,
Breamore,Longparish II,
Hungerford II,Mottisfont,
IBM Hursley,St Mary Bourne,
Nomansland,Shrewton II,
Over Wallop,IBM South Hants,
Redlynch & Hale II,Littleton & W Hill II,
Stockbridge,Michelmersh & T II,
==========,,
12-May,,
Dinton II,Andover IV,
IBM South Hants,Ampfield Crusaders,
Longparish II,Over Wallop,
Michelmersh & T II,Hungerford II,
Mottisfont,IBM Hursley,
Redlynch & Hale II,Breamore,
Shrewton II,North Baddesley,
St Mary Bourne,Nomansland,
Stockbridge,Littleton & W Hill II,
==========,,
19-May,,
Ampfield Crusaders,Longparish II,
Andover IV,IBM South Hants,
Hungerford II,Stockbridge,
IBM Hursley,Michelmersh & T II,
Littleton & W Hill II,Breamore,
Nomansland,Mottisfont,
North Baddesley,St Mary Bourne,
Over Wallop,Redlynch & Hale II,
Shrewton II,Dinton II,
==========,,
26-May,,
Breamore,Over Wallop,
Hungerford II,Littleton & W Hill II,
IBM South Hants,Shrewton II,
Longparish II,Andover IV,
Michelmersh & T II,Nomansland,
Mottisfont,North Baddesley,
Redlynch & Hale II,Ampfield Crusaders,
St Mary Bourne,Dinton II,
Stockbridge,IBM Hursley,
==========,,
02-Jun,,
Ampfield Crusaders,Breamore,
Andover IV,Redlynch & Hale II,
Dinton II,Mottisfont,
IBM Hursley,Hungerford II
Littleton & W Hill II,Over Wallop
Nomansland,Stockbridge
North Baddesley,Michelmersh & T II
Shrewton II,Longparish II
St Mary Bourne,IBM South Hants
==========,
09-Jun,
Breamore,Andover IV
Hungerford II,Nomansland
IBM Hursley,Littleton & W Hill II
Longparish II,St Mary Bourne
Michelmersh & T II,Dinton II
Mottisfont,IBM South Hants
Over Wallop,Ampfield Crusaders
Redlynch & Hale II,Shrewton II
Stockbridge,North Baddesley,
==========,,
16-Jun,,
Andover IV,Over Wallop,
Dinton II,Stockbridge,
IBM South Hants,Michelmersh & T II,
Littleton & W Hill II,Ampfield Crusaders,
Mottisfont,Longparish II,
Nomansland,IBM Hursley,
North Baddesley,Hungerford II,
Shrewton II,Breamore,
St Mary Bourne,Redlynch & Hale II,
==========,,
23-Jun,,
Ampfield Crusaders,Andover IV,
Breamore,St Mary Bourne,
Hungerford II,Dinton II,
IBM Hursley,North Baddesley,
Michelmersh & T II,Longparish II,
Nomansland,Littleton & W Hill II,
Over Wallop,Shrewton II,
Redlynch & Hale II,Mottisfont,
Stockbridge,IBM South Hants,
==========,,
30-Jun,,
Ampfield Crusaders,Shrewton II,
Andover IV,Littleton & W Hill II,
Breamore,Mottisfont,
Dinton II,IBM Hursley,
IBM South Hants,Hungerford II,
Longparish II,Stockbridge,
North Baddesley,Nomansland,
Over Wallop,St Mary Bourne,
Redlynch & Hale II,Michelmersh & T II,
==========,,
07-Jul,,
Dinton II,Nomansland,
IBM South Hants,IBM Hursley,
Littleton & W Hill II,North Baddesley,
Longparish II,Hungerford II,
Michelmersh & T II,Breamore,
Mottisfont,Over Wallop,
Shrewton II,Andover IV,
St Mary Bourne,Ampfield Crusaders,
Stockbridge,Redlynch & Hale II,
==========,,
14-Jul,,
Ampfield Crusaders,Mottisfont,
Andover IV,St Mary Bourne,
Breamore,Stockbridge,
Hungerford II,Redlynch & Hale II,
IBM Hursley,Longparish II,
Littleton & W Hill II,Shrewton II,
Nomansland,IBM South Hants,
North Baddesley,Dinton II,
Over Wallop,Michelmersh & T II,
==========,,
21-Jul,,
Breamore,Hungerford II,
Dinton II,Littleton & W Hill II,
IBM South Hants,North Baddesley,
Longparish II,Nomansland,
Michelmersh & T II,Ampfield Crusaders,
Mottisfont,Andover IV,
Redlynch & Hale II,IBM Hursley,
St Mary Bourne,Shrewton II,
Stockbridge,Over Wallop,
==========,,
28-Jul,,
Ampfield Crusaders,Stockbridge,
Andover IV,Michelmersh & T II,
Dinton II,IBM South Hants,
IBM Hursley,Breamore,
Littleton & W Hill II,St Mary Bourne,
Nomansland,Redlynch & Hale II,
North Baddesley,Longparish II,
Over Wallop,Hungerford II,
Shrewton II,Mottisfont,
==========,,
04-Aug,,
Breamore,Nomansland
Hungerford II,Ampfield Crusaders
IBM South Hants,Littleton & W Hill II
Longparish II,Dinton II
Michelmersh & T II,Shrewton II
Mottisfont,St Mary Bourne
Over Wallop,IBM Hursley
Redlynch & Hale II,North Baddesley
Stockbridge,Andover IV
==========,
11-Aug,
Ampfield Crusaders,IBM Hursley
Andover IV,Hungerford II
Dinton II,Redlynch & Hale II
IBM South Hants,Longparish II
Littleton & W Hill II,Mottisfont
Nomansland,Over Wallop,
North Baddesley,Breamore,
Shrewton II,Stockbridge,
St Mary Bourne,Michelmersh & T II,
==========,,
18-Aug,,
Ampfield Crusaders,Nomansland,
Breamore,Dinton II,
Hungerford II,Shrewton II,
IBM Hursley,Andover IV,
Longparish II,Littleton & W Hill II,
Michelmersh & T II,Mottisfont,
Over Wallop,North Baddesley,
Redlynch & Hale II,IBM South Hants,
Stockbridge,St Mary Bourne,
==========,,
25-Aug,,
Andover IV,Nomansland,
Dinton II,Over Wallop,
IBM South Hants,Breamore,
Littleton & W Hill II,Michelmersh & T II,
Longparish II,Redlynch & Hale II,
Mottisfont,Stockbridge,
North Baddesley,Ampfield Crusaders,
Shrewton II,IBM Hursley,
St Mary Bourne,Hungerford II,
==========,,
