05-May,,
Colden Common II,Matchtech,
Compton & C Ford IV,Soton Travellers II,
Fair Oak IV,Cadnam III,
Friends,Bishops Waltham III,
Langley Manor IV,Clayhill Dragonslayers,
North Baddesley II,Beaulieu,
Sarisbury Athletic VI,Hedge End,
Swan Green II,Otterbourne III,
Totton & Eling IV,Riverside,
==========,,
12-May,,
Beaulieu,Friends,
Bishops Waltham III,Fair Oak IV,
Cadnam III,Langley Manor IV,
Clayhill Dragonslayers,Hedge End,
Matchtech,Sarisbury Athletic VI,
North Baddesley II,Riverside,
Otterbourne III,Compton & C Ford IV,
Soton Travellers II,Colden Common II,
Totton & Eling IV,Swan Green II,
==========,,
19-May,,
Clayhill Dragonslayers,Matchtech,
Colden Common II,Otterbourne III,
Compton & C Ford IV,Totton & Eling IV,
Fair Oak IV,Beaulieu,
Friends,North Baddesley II,
Hedge End,Cadnam III,
Langley Manor IV,Bishops Waltham III,
Riverside,Swan Green II,
Sarisbury Athletic VI,Soton Travellers II,
==========,,
26-May,,
Beaulieu,Langley Manor IV,
Bishops Waltham III,Hedge End,
Cadnam III,Matchtech,
Friends,Riverside,
North Baddesley II,Fair Oak IV,
Otterbourne III,Sarisbury Athletic VI,
Soton Travellers II,Clayhill Dragonslayers,
Swan Green II,Compton & C Ford IV,
Totton & Eling IV,Colden Common II,
==========,,
02-Jun,,
Cadnam III,Soton Travellers II,
Clayhill Dragonslayers,Otterbourne III,
Colden Common II,Swan Green II,
Fair Oak IV,Friends,
Hedge End,Beaulieu,
Langley Manor IV,North Baddesley II,
Matchtech,Bishops Waltham III,
Riverside,Compton & C Ford IV,
Sarisbury Athletic VI,Totton & Eling IV,
==========,,
09-Jun,,
Beaulieu,Matchtech,
Bishops Waltham III,Soton Travellers II,
Compton & C Ford IV,Colden Common II,
Fair Oak IV,Riverside,
Friends,Langley Manor IV,
North Baddesley II,Hedge End,
Otterbourne III,Cadnam III,
Swan Green II,Sarisbury Athletic VI,
Totton & Eling IV,Clayhill Dragonslayers,
==========,,
16-Jun,,
Bishops Waltham III,Otterbourne III,
Cadnam III,Totton & Eling IV,
Clayhill Dragonslayers,Swan Green II,
Hedge End,Friends,
Langley Manor IV,Fair Oak IV,
Matchtech,North Baddesley II,
Riverside,Colden Common II,
Sarisbury Athletic VI,Compton & C Ford IV,
Soton Travellers II,Beaulieu,
==========,,
23-Jun,,
Beaulieu,Otterbourne III,
Colden Common II,Sarisbury Athletic VI,
Compton & C Ford IV,Clayhill Dragonslayers,
Fair Oak IV,Hedge End,
Friends,Matchtech,
Langley Manor IV,Riverside,
North Baddesley II,Soton Travellers II,
Swan Green II,Cadnam III,
Totton & Eling IV,Bishops Waltham III,
==========,,
30-Jun,,
Colden Common II,Clayhill Dragonslayers,
Compton & C Ford IV,Cadnam III,
Hedge End,Langley Manor IV,
Matchtech,Fair Oak IV,
Otterbourne III,North Baddesley II,
Sarisbury Athletic VI,Riverside,
Soton Travellers II,Friends,
Swan Green II,Bishops Waltham III,
Totton & Eling IV,Beaulieu,
==========,,
07-Jul,,
Beaulieu,Swan Green II,
Bishops Waltham III,Compton & C Ford IV,
Cadnam III,Colden Common II,
Clayhill Dragonslayers,Sarisbury Athletic VI,
Matchtech,Langley Manor IV,
North Baddesley II,Totton & Eling IV,
Otterbourne III,Friends,
Riverside,Hedge End,
Soton Travellers II,Fair Oak IV,
==========,,
14-Jul,,
Colden Common II,Bishops Waltham III,
Compton & C Ford IV,Beaulieu,
Fair Oak IV,Otterbourne III,
Friends,Totton & Eling IV,
Hedge End,Matchtech,
Langley Manor IV,Soton Travellers II,
Riverside,Clayhill Dragonslayers,
Sarisbury Athletic VI,Cadnam III,
Swan Green II,North Baddesley II,
==========,,
21-Jul,,
Beaulieu,Colden Common II,
Bishops Waltham III,Sarisbury Athletic VI,
Cadnam III,Clayhill Dragonslayers,
Matchtech,Riverside,
North Baddesley II,Compton & C Ford IV,
Otterbourne III,Langley Manor IV,
Soton Travellers II,Hedge End,
Swan Green II,Friends,
Totton & Eling IV,Fair Oak IV,
==========,,
28-Jul,,
Clayhill Dragonslayers,Bishops Waltham III,
Colden Common II,North Baddesley II,
Compton & C Ford IV,Friends,
Fair Oak IV,Swan Green II,
Hedge End,Otterbourne III,
Langley Manor IV,Totton & Eling IV,
Matchtech,Soton Travellers II,
Riverside,Cadnam III,
Sarisbury Athletic VI,Beaulieu,
==========,,
04-Aug,,
Beaulieu,Clayhill Dragonslayers
Bishops Waltham III,Cadnam III
Compton & C Ford IV,Fair Oak IV
Friends,Colden Common II
North Baddesley II,Sarisbury Athletic VI
Otterbourne III,Matchtech
Soton Travellers II,Riverside
Swan Green II,Langley Manor IV
Totton & Eling IV,Hedge End
==========,
11-Aug,
Cadnam III,Beaulieu
Clayhill Dragonslayers,North Baddesley II
Colden Common II,Fair Oak IV
Hedge End,Swan Green II
Langley Manor IV,Compton & C Ford IV
Matchtech,Totton & Eling IV,
Riverside,Bishops Waltham III,
Sarisbury Athletic VI,Friends,
Soton Travellers II,Otterbourne III,
==========,,
18-Aug,,
Beaulieu,Bishops Waltham III,
Colden Common II,Langley Manor IV,
Compton & C Ford IV,Hedge End,
Fair Oak IV,Sarisbury Athletic VI,
Friends,Clayhill Dragonslayers,
North Baddesley II,Cadnam III,
Otterbourne III,Riverside,
Swan Green II,Matchtech,
Totton & Eling IV,Soton Travellers II,
