05-May,,
Basingstoke & NH V,Herriard II,
Burghclere II,Midhurst IV,
Easebourne,Tichborne Park III,
Easton & Martyr W III,AWE Tadley II,
Herriard III,St Cross Syms VI,
Holybourne III,Hook & N Basics IV,
Overton III,Aldershot V,
Petersfield III,Froxfield II,
Whitchurch II,Ashford Hill II,
==========,,
12-May,,
Aldershot V,Holybourne III,
AWE Tadley II,Basingstoke & NH V,
Froxfield II,Herriard III,
Herriard II,Burghclere II,
Hook & N Basics IV,Petersfield III,
Midhurst IV,Easebourne,
Overton III,Ashford Hill II,
St Cross Syms VI,Tichborne Park III,
Whitchurch II,Easton & Martyr W III,
==========,,
19-May,,
Ashford Hill II,Easton & Martyr W III,
Basingstoke & NH V,Whitchurch II,
Burghclere II,AWE Tadley II,
Easebourne,Herriard II,
Herriard III,Hook & N Basics IV,
Holybourne III,Overton III,
Petersfield III,Aldershot V,
St Cross Syms VI,Midhurst IV,
Tichborne Park III,Froxfield II,
==========,,
26-May,,
Aldershot V,Herriard III,
AWE Tadley II,Easebourne,
Easton & Martyr W III,Basingstoke & NH V,
Froxfield II,Midhurst IV,
Herriard II,St Cross Syms VI,
Holybourne III,Ashford Hill II,
Hook & N Basics IV,Tichborne Park III,
Overton III,Petersfield III,
Whitchurch II,Burghclere II,
==========,,
02-Jun,,
Ashford Hill II,Basingstoke & NH V,
Burghclere II,Easton & Martyr W III,
Easebourne,Whitchurch II,
Froxfield II,Herriard II
Herriard III,Overton III
Midhurst IV,Hook & N Basics IV
Petersfield III,Holybourne III
St Cross Syms VI,AWE Tadley II
Tichborne Park III,Aldershot V
==========,
09-Jun,
Aldershot V,Midhurst IV
AWE Tadley II,Froxfield II
Basingstoke & NH V,Burghclere II
Easton & Martyr W III,Easebourne
Holybourne III,Herriard III
Hook & N Basics IV,Herriard II
Overton III,Tichborne Park III
Petersfield III,Ashford Hill II
Whitchurch II,St Cross Syms VI,
==========,,
16-Jun,,
Ashford Hill II,Burghclere II,
Easebourne,Basingstoke & NH V,
Froxfield II,Whitchurch II,
Herriard II,Aldershot V,
Herriard III,Petersfield III,
Hook & N Basics IV,AWE Tadley II,
Midhurst IV,Overton III,
St Cross Syms VI,Easton & Martyr W III,
Tichborne Park III,Holybourne III,
==========,,
23-Jun,,
Aldershot V,AWE Tadley II,
Basingstoke & NH V,St Cross Syms VI,
Burghclere II,Easebourne,
Easton & Martyr W III,Froxfield II,
Herriard III,Ashford Hill II,
Holybourne III,Midhurst IV,
Overton III,Herriard II,
Petersfield III,Tichborne Park III,
Whitchurch II,Hook & N Basics IV,
==========,,
30-Jun,,
AWE Tadley II,Overton III,
Basingstoke & NH V,Froxfield II,
Burghclere II,St Cross Syms VI,
Easebourne,Ashford Hill II,
Easton & Martyr W III,Hook & N Basics IV,
Herriard II,Holybourne III,
Midhurst IV,Petersfield III,
Tichborne Park III,Herriard III,
Whitchurch II,Aldershot V,
==========,,
07-Jul,,
Aldershot V,Easton & Martyr W III,
Ashford Hill II,Tichborne Park III,
AWE Tadley II,Holybourne III,
Froxfield II,Burghclere II,
Herriard II,Petersfield III,
Hook & N Basics IV,Basingstoke & NH V,
Midhurst IV,Herriard III,
Overton III,Whitchurch II,
St Cross Syms VI,Easebourne,
==========,,
14-Jul,,
Ashford Hill II,St Cross Syms VI,
Basingstoke & NH V,Aldershot V,
Burghclere II,Hook & N Basics IV,
Easebourne,Froxfield II,
Easton & Martyr W III,Overton III,
Herriard III,Herriard II,
Holybourne III,Whitchurch II,
Petersfield III,AWE Tadley II,
Tichborne Park III,Midhurst IV,
==========,,
21-Jul,,
Aldershot V,Burghclere II,
AWE Tadley II,Herriard III,
Easton & Martyr W III,Holybourne III,
Froxfield II,St Cross Syms VI,
Herriard II,Tichborne Park III,
Hook & N Basics IV,Easebourne,
Midhurst IV,Ashford Hill II,
Overton III,Basingstoke & NH V,
Whitchurch II,Petersfield III,
==========,,
28-Jul,,
Ashford Hill II,Froxfield II,
Basingstoke & NH V,Holybourne III,
Burghclere II,Overton III,
Easebourne,Aldershot V,
Herriard III,Whitchurch II,
Midhurst IV,Herriard II,
Petersfield III,Easton & Martyr W III,
St Cross Syms VI,Hook & N Basics IV,
Tichborne Park III,AWE Tadley II,
==========,,
04-Aug,,
Aldershot V,St Cross Syms VI
AWE Tadley II,Midhurst IV
Basingstoke & NH V,Petersfield III
Easton & Martyr W III,Herriard III
Herriard II,Ashford Hill II
Holybourne III,Burghclere II
Hook & N Basics IV,Froxfield II
Overton III,Easebourne
Whitchurch II,Tichborne Park III
==========,
11-Aug,
Ashford Hill II,Hook & N Basics IV
Burghclere II,Petersfield III
Easebourne,Holybourne III
Froxfield II,Aldershot V
Herriard II,AWE Tadley II
Herriard III,Basingstoke & NH V,
Midhurst IV,Whitchurch II,
St Cross Syms VI,Overton III,
Tichborne Park III,Easton & Martyr W III,
==========,,
18-Aug,,
Aldershot V,Hook & N Basics IV,
AWE Tadley II,Ashford Hill II,
Basingstoke & NH V,Tichborne Park III,
Burghclere II,Herriard III,
Easton & Martyr W III,Midhurst IV,
Holybourne III,St Cross Syms VI,
Overton III,Froxfield II,
Petersfield III,Easebourne,
Whitchurch II,Herriard II,
==========,,
25-Aug,,
Ashford Hill II,Aldershot V,
AWE Tadley II,Whitchurch II,
Easebourne,Herriard III,
Froxfield II,Holybourne III,
Herriard II,Easton & Martyr W III,
Hook & N Basics IV,Overton III,
Midhurst IV,Basingstoke & NH V,
St Cross Syms VI,Petersfield III,
Tichborne Park III,Burghclere II,
==========,,
