05-May,,
Broughton,Winterbourne & HPk II,
Farley II,Centurions,
OTs & Romsey IV,Michelmersh & T III,
Wherwell II,Shrewton III,
==========,,
12-May,,
Farley II,Winterslow II,
Michelmersh & T III,Wherwell II,
Shrewton III,Broughton,
Winterbourne & HPk II,Centurions,
==========,,
19-May,,
Broughton,Michelmersh & T III,
Centurions,Winterslow II,
OTs & Romsey IV,Farley II,
Winterbourne & HPk II,Shrewton III,,,,,
==========,,,,,,
26-May,,,,,,
Farley II,Wherwell II,,,,,
Michelmersh & T III,Winterbourne & HPk II,,,,,
Shrewton III,Centurions,,,,,
Winterslow II,OTs & Romsey IV,,,,,
==========,,,,,,
02-Jun,,,,,,
Broughton,Farley II,,,,,
Centurions,OTs & Romsey IV,,,,,
Shrewton III,Michelmersh & T III,,,,,
Wherwell II,Winterslow II,,,,,
==========,,,,,,
09-Jun,,,,,,
Farley II,Winterbourne & HPk II,,,,,
Michelmersh & T III,Centurions
OTs & Romsey IV,Wherwell II
Winterslow II,Broughton
==========,
16-Jun,
Broughton,OTs & Romsey IV
Centurions,Wherwell II
Shrewton III,Farley II
Winterbourne & HPk II,Winterslow II
==========,
23-Jun,
Farley II,Michelmersh & T III
OTs & Romsey IV,Winterbourne & HPk II
Wherwell II,Broughton
Winterslow II,Shrewton III
==========,
30-Jun,,
Broughton,Centurions,
OTs & Romsey IV,Shrewton III,
Wherwell II,Winterbourne & HPk II,
Winterslow II,Michelmersh & T III,
==========,,
07-Jul,,
Centurions,Farley II,
Michelmersh & T III,OTs & Romsey IV,
Shrewton III,Wherwell II,
Winterbourne & HPk II,Broughton,
==========,,
14-Jul,,
Broughton,Shrewton III,
Centurions,Winterbourne & HPk II,
Wherwell II,Michelmersh & T III,
Winterslow II,Farley II
==========,
21-Jul,
Farley II,OTs & Romsey IV
Michelmersh & T III,Broughton
Shrewton III,Winterbourne & HPk II
Winterslow II,Centurions
==========,
28-Jul,
Centurions,Shrewton III
OTs & Romsey IV,Winterslow II
Wherwell II,Farley II
Winterbourne & HPk II,Michelmersh & T III
==========,
04-Aug,
Farley II,Broughton
Michelmersh & T III,Shrewton III
OTs & Romsey IV,Centurions
Winterslow II,Wherwell II
==========,
11-Aug,
Broughton,Winterslow II
Centurions,Michelmersh & T III
Wherwell II,OTs & Romsey IV
Winterbourne & HPk II,Farley II
==========,
18-Aug,
Farley II,Shrewton III
OTs & Romsey IV,Broughton
Wherwell II,Centurions
Winterslow II,Winterbourne & HPk II
==========,
25-Aug,
Broughton,Wherwell II
Michelmersh & T III,Farley II
Shrewton III,Winterslow II
Winterbourne & HPk II,OTs & Romsey IV
==========,
01-Sep,
Centurions,Broughton
Michelmersh & T III,Winterslow II
Shrewton III,OTs & Romsey IV
Winterbourne & HPk II,Wherwell II
==========,
