05-May,,
Bedhampton III,Emsworth II,
Emsworth III,Locks Heath III,
Fareham & Crofton IV,Knowle Village,
Gosport Borough V,Burridge IV,
Hayling Island III,Portsmouth Comm II,
Kerala,Waterlooville III,
Portchester III,Old Hambledonians II,
Portsmouth & S'sea IV,Salthill,
Purbrook IV,Portsmouth IV,
==========,,
12-May,,
Burridge IV,Salthill,
Emsworth II,Hayling Island III,
Kerala,Bedhampton III,
Knowle Village,Gosport Borough V,
Locks Heath III,Fareham & Crofton IV,
Old Hambledonians II,Portsmouth & S'sea IV,
Portsmouth Comm II,Portchester III,
Portsmouth IV,Emsworth III,
Purbrook IV,Waterlooville III,
==========,,
19-May,,
Burridge IV,Old Hambledonians II,
Emsworth III,Purbrook IV,
Fareham & Crofton IV,Portsmouth IV,
Gosport Borough V,Locks Heath III,
Hayling Island III,Kerala,
Portchester III,Emsworth II,
Portsmouth & S'sea IV,Portsmouth Comm II,
Salthill,Knowle Village,
Waterlooville III,Bedhampton III,
==========,,
26-May,,
Bedhampton III,Hayling Island III,
Emsworth II,Portsmouth & S'sea IV,
Emsworth III,Waterlooville III,
Kerala,Portchester III,
Knowle Village,Old Hambledonians II,
Locks Heath III,Salthill,
Portsmouth Comm II,Burridge IV,
Portsmouth IV,Gosport Borough V,
Purbrook IV,Fareham & Crofton IV,
==========,,
02-Jun,,
Burridge IV,Emsworth II,
Fareham & Crofton IV,Emsworth III,
Gosport Borough V,Purbrook IV,
Knowle Village,Portsmouth Comm II
Old Hambledonians II,Locks Heath III
Portchester III,Bedhampton III
Portsmouth & S'sea IV,Kerala
Salthill,Portsmouth IV
Waterlooville III,Hayling Island III
==========,
09-Jun,
Bedhampton III,Portsmouth & S'sea IV
Emsworth II,Knowle Village
Emsworth III,Gosport Borough V
Fareham & Crofton IV,Waterlooville III
Hayling Island III,Portchester III
Kerala,Burridge IV
Locks Heath III,Portsmouth Comm II
Portsmouth IV,Old Hambledonians II
Purbrook IV,Salthill,
==========,,
16-Jun,,
Burridge IV,Bedhampton III,
Gosport Borough V,Fareham & Crofton IV,
Knowle Village,Kerala,
Locks Heath III,Emsworth II,
Old Hambledonians II,Purbrook IV,
Portsmouth & S'sea IV,Hayling Island III,
Portsmouth Comm II,Portsmouth IV,
Salthill,Emsworth III,
Waterlooville III,Portchester III,
==========,,
23-Jun,,
Bedhampton III,Knowle Village,
Emsworth III,Old Hambledonians II,
Fareham & Crofton IV,Salthill,
Gosport Borough V,Waterlooville III,
Hayling Island III,Burridge IV,
Kerala,Locks Heath III,
Portchester III,Portsmouth & S'sea IV,
Portsmouth IV,Emsworth II,
Purbrook IV,Portsmouth Comm II,
==========,,
30-Jun,,
Bedhampton III,Locks Heath III,
Emsworth II,Purbrook IV,
Hayling Island III,Knowle Village,
Kerala,Portsmouth IV,
Old Hambledonians II,Fareham & Crofton IV,
Portchester III,Burridge IV,
Portsmouth & S'sea IV,Waterlooville III,
Portsmouth Comm II,Emsworth III,
Salthill,Gosport Borough V,
==========,,
07-Jul,,
Burridge IV,Portsmouth & S'sea IV,
Emsworth II,Emsworth III,
Knowle Village,Portchester III,
Locks Heath III,Hayling Island III,
Old Hambledonians II,Gosport Borough V,
Portsmouth Comm II,Fareham & Crofton IV,
