06-May,
Hyde,Winterslow
Bashley 1 ,Lymington
New Milton,Pylewell Park
Redlynch & Hale,Wellow & Plaitford
==========,
13-May,
Lymington,Hyde
M&T's,Redlynch & Hale
Pylewell Park,Bashley 1 
Wellow & Plaitford,New Milton
==========,
20-May,
Hyde,Pylewell Park
Winterslow,Lymington
Bashley 1 ,Wellow & Plaitford
New Milton,M&T's
==========,
03-Jun,
Wellow & Plaitford,Hyde
Pylewell Park,Winterslow
Redlynch & Hale,New Milton
M&T's,Bashley 1 
==========,
10-Jun,
Hyde,M&T's
Winterslow,Wellow & Plaitford
Lymington,Pylewell Park
Bashley 1 ,Redlynch & Hale
==========,
17-Jun,
Redlynch & Hale,Hyde
M&T's,Winterslow
Wellow & Plaitford,Lymington
New Milton,Bashley 1 
==========,
24-Jun,
Hyde,New Milton
Winterslow,Redlynch & Hale
Lymington,M&T's
Pylewell Park,Wellow & Plaitford
==========,
01-Jul,
Wellow & Plaitford,M&T's
Winterslow,Bashley 1 
Lymington,New Milton
Redlynch & Hale,Pylewell Park
==========, 
08-Jul,
M&T's,Wellow & Plaitford
Bashley 1 ,Winterslow
New Milton,Lymington
Redlynch & Hale,Pylewell Park
==========,
15-Jul,
Winterslow,Hyde
Lymington,Bashley 1 
Pylewell Park,New Milton
Wellow & Plaitford,Redlynch & Hale
==========,
22-Jul,
Hyde,Lymington
Redlynch & Hale,M&T's
Bashley 1 ,Pylewell Park
New Milton,Wellow & Plaitford
==========,
