06-May,
Fawley,Sway
Lymington 2,Beaulieu
Calmore 1,Bashley 2
Totton & Eling,Hythe & Dibden
==========,
13-May,
Beaulieu,Fawley
Hythe & Dibden,Calmore 1
Bashley 2,Lymington 2
Sway,Totton & Eling
==========,
20-May,
Fawley,Bashley 2
Sway,Beaulieu
Lymington 2,Hythe & Dibden
Totton & Eling,Calmore 1
==========,
03-Jun,
Hythe & Dibden,Fawley
Bashley 2,Sway
Calmore 1,Lymington 2
Beaulieu,Totton & Eling
==========,
10-Jun,
Fawley,Calmore 1
Sway,Hythe & Dibden
Beaulieu,Bashley 2
Totton & Eling,Lymington 2
==========,
17-Jun,
Lymington 2,Fawley
Calmore 1,Sway
Hythe & Dibden,Beaulieu
Bashley 2,Totton & Eling
==========,
24-Jun,
Bashley 2,Hythe & Dibden
Sway,Lymington 2
Beaulieu,Calmore 1
Fawley,Totton & Eling
==========,
01-Jul,
Sway,Fawley
Beaulieu,Lymington 2
Bashley 2,Calmore 1
Hythe & Dibden,Totton & Eling
==========,
08-Jul,
Beaulieu,Fawley
Calmore 1,Hythe & Dibden
Lymington 2,Bashley 2
Totton & Eling,Sway
==========,
15-Jul,
Bashley 2,Fawley
Beaulieu,Sway
Hythe & Dibden,Lymington 2
Calmore 1,Totton & Eling
==========,
22-Jul,
Hythe & Dibden,Fawley
Bashley 2,Sway
Lymington 2,Calmore 1
Totton & Eling,Beaulieu
==========,
